satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,left
0.7268222670380755,0.41129814553209104,6,238,6,0,0,0
0.3575254014553415,0.9781482423434229,5,260,4,0,0,1
0.3041663082077828,0.7264180060196278,6,187,7,1,0,1
0.5961832921746021,0.41462813922501146,6,134,2,0,0,1
0.7475220728070068,0.8629073267862062,2,306,7,1,0,0
0.4807958141120149,0.39881638384729795,2,188,3,0,0,1
0.982687778546154,0.48963921776191655,2,254,4,0,0,0
0.7163467647263769,0.6940648939934471,5,139,2,0,0,0
0.5328387113359249,0.4065638064215291,4,249,10,0,0,0
0.45290576637473545,0.36074166240335204,6,196,10,0,0,0
0.4088602145357825,0.7761277914644755,4,247,2,0,0,0
0.7561447366456374,0.32911379333956786,7,249,10,0,0,0
0.494715020211662,0.5454006000865982,5,197,6,0,0,1
0.15371010694861154,0.4718632101033763,7,106,3,0,0,0
0.4582398297973883,0.9549326268728124,3,239,3,0,0,1
0.7641958651588321,0.7053816327049348,7,167,9,0,0,0
0.26424255740815,0.348457339386546,4,251,9,0,0,1
0.2579065805327433,0.58669374354189,7,295,4,0,0,1
0.5783962364576546,0.5616845812446232,3,221,3,0,0,0
0.5786448283871795,0.4017745896721182,7,263,9,1,0,1
0.6709608626961889,0.8131473780986473,5,191,10,0,0,0
0.8644886146700106,0.4310263259483577,5,265,4,1,0,0
0.7520097923745717,0.8935541415901107,5,141,5,0,0,1
0.6499211596098246,0.9565540134462915,3,164,4,0,0,0
0.7501990443131994,0.36119778875093345,7,242,2,0,0,0
0.39066302246786044,0.7623660960853247,3,257,2,1,0,0
0.4256097900600827,0.7384471469324501,4,232,8,0,0,0
0.30543690779106003,0.6586541446514268,2,114,5,0,0,0
0.36434264174994646,0.7458379726324278,2,193,2,0,0,0
0.667878511469039,0.9331497741032837,2,194,7,0,0,0
0.18289444595056767,0.8295232359485258,4,170,6,0,0,1
0.4903310554115754,0.7518319205772761,7,214,10,0,0,0
0.4877764869966794,0.5994221192015909,3,230,10,0,0,0
0.5443165878852756,0.46942460571275524,7,197,7,0,0,0
0.4832472612662452,0.4427218573034371,2,300,7,0,0,1
0.38103510067521873,0.4518992815034776,5,220,2,1,0,0
0.4837161762665274,0.9049442036539872,4,179,4,1,1,0
0.9040502468054213,0.38387711904298666,5,126,7,0,0,0
0.9497440163834917,0.3811804028133913,6,247,6,0,0,0
0.5516530082959029,0.31490069804046067,5,194,7,0,0,0
0.6615576566129001,0.8085224284438344,3,289,5,0,0,0
0.20405655557136615,0.3037404290382943,6,145,5,0,0,0
0.3855569336382888,0.944057123545228,3,287,3,0,0,0
0.4733435907582686,0.9798782436712647,3,306,5,0,0,0
0.8796782420950293,0.46384851501848834,4,240,10,0,0,0
0.32540982885685604,0.3285621429224359,4,245,9,0,0,1
0.5347308378364339,0.9746698861178991,6,259,7,1,0,1
0.9870038070496345,0.44647345108916436,7,243,6,0,0,1
0.5675366073338284,0.6751656797084845,5,123,5,0,0,0
0.6516050731866709,0.7542700781320848,2,163,2,1,0,1
0.20856579939129138,0.7148821809699629,6,234,8,0,0,0
0.8437067204561499,0.892180349125193,5,157,8,0,0,0
0.6427541155698346,0.6386959881835828,7,277,7,0,0,1
0.5905612058198184,0.66548149776599,5,295,6,0,0,0
0.4084874503968776,0.9992995547938894,5,251,3,0,0,1
0.3737087101244657,0.6925209257601643,4,302,4,0,0,1
0.47531998992223146,0.4384248409926994,3,299,5,0,0,1
0.713170689213517,0.41741071577647554,5,175,10,0,0,1
0.8879111576156574,0.9073749152132164,7,160,4,0,0,0
0.5593801037302101,0.5518364908639404,3,298,9,0,0,1
0.7023824046660451,0.9629330495540325,6,266,6,0,0,0
0.6273428973059916,0.8638854473389133,2,292,10,0,0,1
0.6624131518860399,0.9612442756729258,4,150,10,0,0,1
0.7072201458890424,0.6931578090549764,6,269,7,0,0,1
0.8581081938582316,0.3293249623921827,5,270,3,0,0,0
0.1748754894991949,0.895611389161338,4,125,8,0,0,1
0.7873145572990043,0.7056730008789524,5,167,3,0,0,0
0.3192997370831866,0.9074372249675466,5,220,4,0,0,1
0.2748006645208938,0.49897347424673555,4,151,4,0,0,1
0.6152112617423258,0.8999227072790676,6,133,6,0,0,0
0.1861412649511484,0.4404110922913077,2,227,10,0,0,0
0.8967941436476257,0.4974845684646827,2,247,3,1,0,0
0.6645240748461418,0.40139170529961965,3,160,9,0,0,1
